Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
30919,78c7,"RK EMS 1","D","EMS Dispatch 1","EMS Dispatch","Rock County"
30920,78c8,"RK EMS 2","D","EMS Dispatch 2","EMS Dispatch","Rock County"
31100,797c,"JK LAW","D","Jackson Law","Law Tac","Jackson County"
31101,797d,"NB LAW","D","County Law Dispatch","Law Dispatch","Nobles County"
31102,797e,"NB LAW C2C","D","County Law Car to Car","Law Tac","Nobles County"
31107,7983,"NB JAIL","D","County Jail","Corrections","Nobles County"
31108,7984,"NB HWY 1","D","Highway Dept 1","Public Works","Nobles County"
31109,7985,"NB HWY 2","D","Highway Dept 2","Public Works","Nobles County"
31112,7988,"NB FIRE","D","County Fire Dispatch","Fire Dispatch","Nobles County"
31121,7991,"NB RDLK FD","D","Round Lake Fire","Fire-Tac","Nobles County"
31125,7995,"WORTH HOSP","D","Worthington Regional Hospital","Hospital","Nobles County"
31127,7997,"OsceolaCoIAPatch","D","Osceola County Iowa Patch","Interop","Nobles County"
31128,7998,"NB IOWA","D","NW Iowa - SW MN Tac ?","Interop","Nobles County"
31130,799a,"NB 2","D","NB 2","Multi-Talk","Nobles County"
31131,799b,"NB 3","D","NB 3","Multi-Talk","Nobles County"
31132,799c,"NB 4","D","NB 4","Multi-Talk","Nobles County"
31133,799d,"NB 5","D","NB 5","Multi-Talk","Nobles County"
31134,799e,"NB 6","D","NB 6","Multi-Talk","Nobles County"
31300,7a44,"JK 911","D","County 911","Emergency Ops","Jackson County"
31302,7a46,"JK LAW DISP","D","Law Dispatch","Law Dispatch","Jackson County"
31304,7a48,"JK FIRE EMS","D","Fire - EMS Dispatch","Fire Dispatch","Jackson County"
31311,7a4f,"JK-DICKNSON","D","Jackson Co. Patch with Dickinson Co. Iowa VHF","Law Tac","Jackson County"
31313,7a51,"JK ROADS","D","Road Department","Public Works","Jackson County"
31315,7a53,"JK JAK DPW","D","Jackson DPW","Public Works","Jackson County"
31321,7a59,"JK TRANSIT","D","Community Action Transit - Lincoln, Lyon, Redwood, Cottonwood","Transportation","Jackson County"
31327,7a5f,"JK 31327","D","Jackson 31327","Public Works","Jackson County"
31500,7b0c,"SW HOSP","D","Southwest Hospitals","Hospital","Zone 2 Interoperability SW"
32873,8069,"LL3 Brainerd Bas","D","LL3 Brainerd Base (Life Link 8)","EMS Dispatch","Life Link III - Air Medical Service"
33200,81b0,"MC ROAM","D","County Roam","Multi-Dispatch","McLeod County"
33202,81b2,"MC 911","D","County Emergency buttons","Emergency Ops","McLeod County"
33203,81b3,"MC HTCH PD","D","Hutchinson Law Dispatch","Law Dispatch","McLeod County"
33205,81b5,"MC GLNCOE PD","D","Glencoe Law Admin","Law Tac","McLeod County"
33206,81b6,"MC LAW","De","County Law","Law Tac","McLeod County"
33207,81b7,"MC SCHOOL","D","County Schools","Schools","McLeod County"
33208,81b8,"MC FIRE 1","D","County Fire Dispatch","Fire Dispatch","McLeod County"
33209,81b9,"MC LAW DSP","D","County Law Dispatch","Law Dispatch","McLeod County"
33210,81ba,"MC P WORKS","D","County Public Works","Public Works","McLeod County"
33211,81bb,"MC 3","D","McLeod ML 3","Multi-Tac","McLeod County"
33212,81bc,"MC 4","D","McLeod ML 4","Multi-Tac","McLeod County"
33213,81bd,"MC 5","D","McLeod ML 5","Multi-Tac","McLeod County"
33214,81be,"MC 6","D","McLeod ML 6","Multi-Tac","McLeod County"
33215,81bf,"MC 7","D","McLeod ML 7","Multi-Tac","McLeod County"
33216,81c0,"STEWART FIRE","D","Stewart Fire Admin","Fire-Tac","McLeod County"
33217,81c1,"SV LAKE FIRE","D","Silver Lake Fire/EMS Admin","Fire-Talk","McLeod County"
33218,81c2,"WINSTED FIRE","D","Winsted Fire","Fire-Tac","McLeod County"
33219,81c3,"BRWNTN FIRE","D","Brownton Fire","Fire-Tac","McLeod County"
33220,81c4,"GLENCOE HOSP","D","Glencoe Hospital ER","Hospital","McLeod County"
33221,81c5,"MCLD EMS DSP","D","County EMS","EMS Dispatch","McLeod County"
33222,81c6,"HUTCH HOSP","D","Hutchinson Hospital ER","Hospital","McLeod County"
33223,81c7,"GLENCOE FIRE","D","Glencoe Fire Admin","Fire-Tac","McLeod County"
33224,81c8,"HUTCH FIRE","D","Hutch Fire Admin","Fire-Tac","McLeod County"
33225,81c9,"LSTR PR FIRE","D","Lester Prairie FD Adm","Fire-Tac","McLeod County"
33226,81ca,"PLATO FIRE","D","Plato FD Adm","Fire-Tac","McLeod County"
33227,81cb,"GLEN HOSP EM","D","Glencoe Hospital/EMS Admin","Hospital","McLeod County"
33228,81cc,"GLEN LGT PWR","D","Glencoe Light & Power","Public Works","McLeod County"
33229,81cd,"GLEN WORKS 1","D","Glencoe Public Works 1","Public Works","McLeod County"
33230,81ce,"GLEN WORKS 2","D","Glencoe Public Works 2","Public Works","McLeod County"
33231,81cf,"MC 8","D","McLeod ML 8","Multi-Tac","McLeod County"
33232,81d0,"MC WEATHER","D","County Weather","Emergency Ops","McLeod County"
33233,81d1,"MC LAW ADM","D","County Law Admin","Law Tac","McLeod County"
33234,81d2,"MC JAIL","D","Jail Operations","Corrections","McLeod County"
33248,81e0,"GLENC HOSP OPS","D","Glencoe Hospital Operations","Business","McLeod County"
33250,81e2,"Brownton DPW","D","Brownton DPW","Public Works","McLeod County"
33400,8278,"SB ROAM","D","County Roam","Multi-Dispatch","Sibley County"
33402,827a,"SB 911","D","SB 911","Emergency Ops","Sibley County"
33404,827c,"SB LAW DISP","D","SB Law Main","Law Dispatch","Sibley County"
33406,827e,"SB JAIL","D","SB Jail","Corrections","Sibley County"
33408,8280,"SB FIRE","D","County Fire EMS Dispatch","Fire Dispatch","Sibley County"
33410,8282,"SB P WORKS","D","SB Public Works","Public Works","Sibley County"
33411,8283,"SB PW SUPV","D","SB PW Supervisors","Public Works","Sibley County"
33412,8284,"SB MED CTR","D","EMH-SMC Sibley Medical Center - Arlington","Hospital","Sibley County"
33414,8286,"SB 7","D","Sibley 7","Multi-Tac","Sibley County"
33415,8287,"SB 8","D","Sibley 8","Multi-Tac","Sibley County"
33416,8288,"SB 5","D","Sibley 5","Multi-Tac","Sibley County"
33417,8289,"SB 6","D","Sibley 6","Multi-Tac","Sibley County"
33418,828a,"SB 9","D","Sibley 9","Multi-Tac","Sibley County"
33419,828b,"SB 10","D","Sibley 10","Multi-Tac","Sibley County"
33420,828c,"SB 11 W","D","Sibley 11 Weather","Multi-Tac","Sibley County"
33421,828d,"SB LAW 1E","De","Sibley Law 1E","Law Tac","Sibley County"
33422,828e,"SB LAW 2E","De","Sibley Law 2E","Law Tac","Sibley County"
33423,828f,"ARLINGTON FD","D","Arlington FD T2T","Fire-Talk","Sibley County"
33424,8290,"ARLINGTON AD","D","Arlington City Admin","Public Works","Sibley County"
33427,8293,"GRN ISLE ADM","D","Green Isle City Admin","Public Works","Sibley County"
33428,8294,"GRN ISLE FD","D","Green Isle T2T","Fire-Talk","Sibley County"
33429,8295,"GAYLORD FD","D","Gaylord FD T2T","Fire-Talk","Sibley County"
33431,8297,"Henderson FD","D","Henderson FD","Fire-Talk","Sibley County"
33432,8298,"NEW ABRN FD","D","New Auburn FD T2T","Fire-Talk","Sibley County"
33433,8299,"NEW AUBURN FD","D","New Auburn Fire Tac","Fire-Tac","Sibley County"
33435,829b,"WINTHROP FD","D","Winthrop FD T2T","Fire-Talk","Sibley County"
33436,829c,"WINTHROP ADM","D","Winthrop City Admin","Public Works","Sibley County"
33602,8342,"BR ROAM","D","County Roam","Multi-Dispatch","Brown County"
33603,8343,"BR MAIN 1","D","Law-Fire-EMS Dispatch 1","Multi-Dispatch","Brown County"
33605,8345,"BR MAIN 2","D","Law-Fire-EMS Dispatch 2","Multi-Dispatch","Brown County"
33608,8348,"BR PAGE","D","Paging","Fire Dispatch","Brown County"
33612,834c,"N ULM HOSP","D","New Ulm Hospital","Hospital","Brown County"
33614,834e,"SLPY EYE ER","D","Sleepy Eye Medical Center ER","Hospital","Brown County"
33617,8351,"Comfrey FD Disp","D","Comfrey Fire Dispatch","Fire Dispatch","Brown County"
33621,8355,"BR HWY","D","Highway Dept","Public Works","Brown County"
33622,8356,"N ULM UTIL","D","New Ulm Public Utilities","Utilities","Brown County"
33638,8366,"BR TRANS","D","Brown Heartland Express","Transportation","Brown County"
33729,83c1,"Comfrey FD","D","Comfrey Fire","Fire Dispatch","Brown County"
33802,840a,"NC ROAM","D","County Roam","Multi-Dispatch","Nicollet County"
33803,840b,"NC GAC SEC","D","Gustavus Adolphus College Security","Security","Nicollet County"
33804,840c,"NC SO ADM","D","County Sheriff Admin","Law Tac","Nicollet County"
33806,840e,"NC LAW C2C","D","County All Law Car to Car","Law Tac","Nicollet County"
33808,8410,"NC LAW 1","DE","LAW 1","Law Dispatch","Nicollet County"
33809,8411,"NC LAW2","D","Law 2 Saint Peter Police","Law Dispatch","Nicollet County"
33810,8412,"NC FIRE","D","Fire/EMS Dispatch","Fire Dispatch","Nicollet County"
33813,8415,"NC NM DPW","D","North Mankato Public Works","Public Works","Nicollet County"
33814,8416,"NC P WORKS","D","County Public Works","Public Works","Nicollet County"
33818,841a,"NC SPPD ADM","D","St Peter Police Admin","Law Tac","Nicollet County"
33820,841c,"NC 3","D","County Interop 3","Multi-Tac","Nicollet County"
33821,841d,"NC 911","D","County Emergency Hailing","Emergency Ops","Nicollet County"
33822,841e,"NC 4","D","County Interop 4","Multi-Tac","Nicollet County"
33826,8422,"ST PETER HOSP","D","St Peter Hospital - River's Edge","Hospital","Nicollet County"
33827,8423,"NC 5","D","County Interop 5","Multi-Tac","Nicollet County"
33828,8424,"NC 6","D","County Interop 6","Multi-Tac","Nicollet County"
33829,8425,"NC 7","D","County Interop 7","Multi-Tac","Nicollet County"
33830,8426,"NC 8","D","County Interop 8","Multi-Tac","Nicollet County"
33838,842e,"NC SCHOOLS","D","Nicollet County Schools","Schools","Nicollet County"
34004,84d4,"LS LAW","DE","Law Dispatch","Law Dispatch","Le Sueur County"
34005,84d5,"LS LAW C2C","D","Law Car to Car","Law Tac","Le Sueur County"
34020,84e4,"LS FIRE","D","Fire Dispatch","Fire Dispatch","Le Sueur County"
34040,84f8,"LS P WORKS","D","Public Works","Public Works","Le Sueur County"
34041,84f9,"LS MAINT","D","Building Maintenance","Public Works","Le Sueur County"
34043,84fb,"LS EMRG","D","Emergency","Multi-Dispatch","Le Sueur County"
34044,84fc,"LS LS DPW","D","Le Sueur City Public Works","Public Works","Le Sueur County"
34046,84fe,"LS JAIL","D","Jail","Corrections","Le Sueur County"
34060,850c,"LS 1","D","Le Sueur Event 1","Multi-Talk","Le Sueur County"
34070,8516,"LS 2","D","Le Sueur 2","Multi-Talk","Le Sueur County"
34071,8517,"LS 3","D","Le Sueur 3","Multi-Talk","Le Sueur County"
34072,8518,"LS 4","D","Le Sueur 4","Multi-Talk","Le Sueur County"
34073,8519,"LS 5","D","Le Sueur 5","Multi-Talk","Le Sueur County"
34080,8520,"LS ROAM","D","County Roam","Multi-Dispatch","Le Sueur County"
34081,8521,"LS LAW ALL","D","Law All Call","Law Dispatch","Le Sueur County"
34082,8522,"LS FIRE ALL","D","Fire All Call","Fire Dispatch","Le Sueur County"
34083,8523,"LS PW ALL","D","Public Works All Call","Public Works","Le Sueur County"
34090,852a,"LS HOSP","D","Le Sueur Hospital","Hospital","Le Sueur County"
34202,859a,"WT ROAM","D","County Roam","Multi-Dispatch","Watonwan County"
34208,85a0,"WT 8","D","Watonwan 8","Multi-Talk","Watonwan County"
34211,85a3,"WT 4","D","Watonwan 4","Multi-Talk","Watonwan County"
34212,85a4,"WT ALL CALL","D","All Call ","Multi-Dispatch","Watonwan County"
34213,85a5,"WT 13","D","Watonwan 13","Multi-Talk","Watonwan County"
34215,85a7,"WT 15","D","Watonwan 15","Multi-Talk","Watonwan County"
34224,85b0,"WT LAW","D","Watonwan Law Main","Law Dispatch","Watonwan County"
34228,85b4,"WT 28","D","Watonwan 28","Multi-Talk","Watonwan County"
34236,85bc,"MCHS St James","D","Mayo Clinic Health System - St James Hospital","Hospital","Watonwan County"
34238,85be,"WT EMS Main","D","EMS Dispatch","EMS Dispatch","Watonwan County"
34241,85c1,"WT 41","D","Watonwan 41","Multi-Talk","Watonwan County"
34300,85fc,"MSU SEC","D","Mankato State Univ. Security","Security","Blue Earth County"
34301,85fd,"MSU OPS","D","Mankato State Univ. Operations","Public Works","Blue Earth County"
34324,8614,"WT MD EMS","D","Madelia EMS","EMS-Talk","Watonwan County"
34402,8662,"BE ROAM","D","County Roaming","Multi-Dispatch","Blue Earth County"
34404,8664,"BE LAW","D","Blue Earth Sheriff - VHF Link","Law Dispatch","Blue Earth County"
34406,8666,"BE EMH SR","D","Regional Hospital Net","Hospital","Blue Earth County"
34408,8668,"BE FIRE","D","Blue Earth Fire/EMS","Fire Dispatch","Blue Earth County"
34412,866c,"BE MK LAW","DE","Mankato PD","Law Dispatch","Blue Earth County"
34413,866d,"BE 4","D","BE 4","Multi-Tac","Blue Earth County"
34414,866e,"BE 5","D","BE 5","Multi-Tac","Blue Earth County"
34415,866f,"BE 6","D","BE 6","Multi-Tac","Blue Earth County"
34416,8670,"BE 7","D","BE 7","Multi-Tac","Blue Earth County"
34417,8671,"BE 8","D","BE 8","Multi-Tac","Blue Earth County"
34418,8672,"BE 9","D","BE 9","Multi-Tac","Blue Earth County"
34419,8673,"BE 911","D","BE 911","Emergency Ops","Blue Earth County"
34420,8674,"BE JAIL","D","County Jail","Corrections","Blue Earth County"
34424,8678,"BE MK FD","D","Mankato Fire","Fire Dispatch","Blue Earth County"
34442,868a,"MCHS HOSP ER","D","MCHS Mankato ER - Patient Reports (Mayo Health)","Hospital","Blue Earth County"
34445,868d,"BE SCHOOLS","D","Blue Earth County Schools","Schools","Blue Earth County"
34446,868e,"MK TRANS 1","D","Mankato Transit 1","Transportation","Blue Earth County"
34447,868f,"MK TRANS 2","D","Mankato Transit 2","Transportation","Blue Earth County"
34449,8691,"MK STREETS","D","Mankato Streets","Public Works","Blue Earth County"
34450,8692,"MK WATER","D","Mankato Water","Public Works","Blue Earth County"
34451,8693,"MK WATER TREAT","D","Mankato Water Treatment","Public Works","Blue Earth County"
34452,8694,"MK WASTEWATER","D","Mankato Wastewater","Public Works","Blue Earth County"
34454,8696," Vetter Stone","D","Mankato Vetter Stone Amphitheater ","Public Works","Blue Earth County"
34456,8698,"MK Civic Center","D","Mankato Civic Center","Public Works","Blue Earth County"
34457,8699,"BE LAW 7","DE","LAW 7","Law Tac","Blue Earth County"
34460,869c,"BE LAW 10","DE","LAW 10","Law Tac","Blue Earth County"
34606,872e,"WS 6","D","Waseca 6","Multi-Tac","Waseca County"
34610,8732,"WS 10","D","Waseca 10","Multi-Tac","Waseca County"
34611,8733,"WS LAW 1","D","Law 1 Dispatch","Law Dispatch","Waseca County"
34612,8734,"WS 2","D","Waseca 2","Multi-Tac","Waseca County"
34613,8735,"WS 3","D","Waseca 3","Multi-Tac","Waseca County"
34614,8736,"WS 4","D","Waseca 4","Multi-Tac","Waseca County"
34615,8737,"WS 5","D","Waseca 5","Multi-Tac","Waseca County"
34616,8738,"WS 16","D","Waseca 16","Multi-Tac","Waseca County"
34617,8739,"WS 7E","DE","Waseca 7E","Multi-Tac","Waseca County"
34618,873a,"WS FIRE 1","D","Fire/EMS Dispatch","Fire Dispatch","Waseca County"
34619,873b,"WS EM 1","D","Emergency Management 1","Emergency Ops","Waseca County"
34620,873c,"WS ROAM","D","County Roaming","Multi-Dispatch","Waseca County"
34622,873e,"WS HWY 1","D","Highway 1","Public Works","Waseca County"
34623,873f,"WS WAS UTL","D","Waseca Utilities","Utilities","Waseca County"
34626,8742,"WS HOSP","D","Waseca Hospital","Hospital","Waseca County"
34627,8743,"WS EM SPOT","D","Emergency Management SPOT","Emergency Ops","Waseca County"
34800,87f0,"MT ROAM","D","Martin County Roaming","Multi-Dispatch","Martin County"
34803,87f3,"MT 3","D","Martin Co MT3","Multi-Tac","Martin County"
34812,87fc,"MT LAW","D","Law Enforcement Dispatch","Law Dispatch","Martin County"
34814,87fe,"MAYO HOSP","D","Mayo Clinic Health System Fairmont Hospital","Hospital","Martin County"
34817,8801,"MT HWY","D","Highway Dept","Public Works","Martin County"
34824,8808,"MT 24","D","Martin 24","Multi-Talk","Martin County"
34825,8809,"MT 25","D","Martin 25","Multi-Talk","Martin County"
34828,880c,"MT 28","D","Martin 28","Multi-Talk","Martin County"
34829,880d,"MT 29","D","Martin 29","Multi-Talk","Martin County"
34831,880f,"MT 31","D","Martin 31","Multi-Talk","Martin County"
34838,8816,"MT 38","D","Martin 38","Multi-Talk","Martin County"
35002,88ba,"FA ROAM","D","County Roam","Multi-Dispatch","Faribault County"
35003,88bb,"FA LAW 1","D","County Law 1","Law Dispatch","Faribault County"
35004,88bc,"FA LAW 2","D","County Law 2","Law Dispatch","Faribault County"
35005,88bd,"FA  7","D","Faribault 7","Multi-Talk","Faribault County"
35006,88be,"FA LAW 3","DE","County Law 3","Law Dispatch","Faribault County"
35007,88bf,"FA 8","D","Faribault 8","Multi-Talk","Faribault County"
35008,88c0,"FA FIRE","D","County Fire Dispatch","Fire Dispatch","Faribault County"
35009,88c1,"FA JAIL OPS","D","County Jail","Corrections","Faribault County"
35010,88c2,"FA  HWY 1","D","Faribault Highway 1","Public Works","Faribault County"
35011,88c3,"FA EMS DISP","D","County EMS Dispatch","EMS Dispatch","Faribault County"
35012,88c4,"FA UHD ER","D","United Hospital Blue Earth","Hospital","Faribault County"
35013,88c5,"FA  9","D","Faribault 9","Multi-Talk","Faribault County"
35014,88c6,"FA  10","D","Faribault 10","Multi-Talk","Faribault County"
35015,88c7,"FA 911","D","Faribault 911","Multi-Talk","Faribault County"
35016,88c8,"FA HWY 2","D","Faribault Highway 2","Public Works","Faribault County"
35017,88c9,"FA BLUE EARTH","D","Blue Earth OPS","Multi-Talk","Faribault County"
35018,88ca,"FA BRICELYN","D","BRICELYN OPS","Multi-Talk","Faribault County"
35019,88cb,"FA DELEVAN","D","DELAVAN OPS","Multi-Talk","Faribault County"
35020,88cc,"FA EASTON","D","EASTON OPS","Multi-Talk","Faribault County"
35021,88cd,"FA ELMORE","D","ELMORE OPS","Multi-Talk","Faribault County"
35023,88cf,"FA FRST OPS","D","FROST OPS","Multi-Talk","Faribault County"
35024,88d0,"FA MN LAKE","D","Minnesota Lake OPS","Multi-Talk","Faribault County"
35025,88d1,"FA","D","Faribault","Multi-Talk","Faribault County"
35026,88d2,"FA WELLS","D","Wells Ops","Multi-Talk","Faribault County"
35027,88d3,"FA W'BAGO","D","Winnebago OPS","Multi-Talk","Faribault County"
35029,88d5,"FA","D","Faribault","Multi-Talk","Faribault County"
35030,88d6,"FA","D","Faribault ","Multi-Talk","Faribault County"
35038,88de,"FA","D","Faribault","Multi-Talk","Faribault County"
35039,88df,"FA","D","Faribault","Multi-Talk","Faribault County"
36500,8e94,"MSP 2700 DSP","D","Duluth "2700" Dispatch","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
36501,8e95,"MSP 2700 TAC","D","Duluth "2700" Roam","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
36502,8e96,"MSP 2700 T 2","D","Duluth "2700" District Tactical 2","Law Tac","Minnesota Department of Public Safety - State Patrol"
36504,8e98,"MSP 2700 T 1","D","Duluth "2700" District Tactical 1","Law Tac","Minnesota Department of Public Safety - State Patrol"
36505,8e99,"MSP 2700 RM","D","Duluth "2700" Tac","Law Tac","Minnesota Department of Public Safety - State Patrol"
36506,8e9a,"MSP 2700 T 3","D","Duluth "2700" District Tactical 3 - Emergency","Law Tac","Minnesota Department of Public Safety - State Patrol"
36508,8e9c,"MSP 2700 ALL","D","Duluth "2700" - All Call","Law Tac","Minnesota Department of Public Safety - State Patrol"
36528,8eb0,"DOT DLH ALL","D","DOT Duluth - All Call","Public Works","Minnesota DOT District 1 NE - Duluth"
36530,8eb2,"DOT DLH EMER","D","DOT Duluth Emergency to State Patrol","Public Works","Minnesota DOT District 1 NE - Duluth"
36532,8eb4,"DOT D1 LAKES","D","DOT D1 Lakes Sub (Floodwood, Grand Rapids, McGregor Truck Stations)","Public Works","Minnesota DOT District 1 NE - Duluth"
36534,8eb6,"DOT D1 SOUTH","D","DOT D1 South Sub (Carlton, Moose Lk, Pine City, Sandstone Truck Stations)","Public Works","Minnesota DOT District 1 NE - Duluth"
36536,8eb8,"DOT D1 DULUTH","D","DOT D1 Duluth Sub (Duluth, Nopeming, Pike Lake Truck Stations)","Public Works","Minnesota DOT District 1 NE - Duluth"
36540,8ebc,"DOT D1 BORDER","D","DOT D1 Border Sub (Cook, Deer Lake, International Falls, Little Fork Truck Stations)","Public Works","Minnesota DOT District 1 NE - Duluth"
36542,8ebe,"DOT D1 RANGE","D","DOT D1 Range Sub (Ely, Hibbing, Virigina Truck Stations)","Public Works","Minnesota DOT District 1 NE - Duluth"
36544,8ec0,"DOT DLH 36544","D","DOT Duluth  36544","Public Works","Minnesota DOT District 1 NE - Duluth"
36548,8ec4,"DOT VIR TAC 3","D","DOT Virginia TAC 3","Public Works","Minnesota DOT District 1 NE - Duluth"
36550,8ec6,"DOT VIR TAC 4","D","DOT Virginia TAC 4","Public Works","Minnesota DOT District 1 NE - Duluth"
36564,8ed4,"MSP 3100 DSP","D","Virginia "3100" District Dispatch","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
36565,8ed5,"MSP 3100 RM","D","Virginia "3100" Roaming","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
36566,8ed6,"MSP 3100 T 2","D","Virginia "3100" District Tactical 2","Law Tac","Minnesota Department of Public Safety - State Patrol"
36567,8ed7,"MSP 3100 A I","D","Virginia "3100" Accident Investigation","Law Tac","Minnesota Department of Public Safety - State Patrol"
36568,8ed8,"MSP 3100 T 1","D","Virginia "3100" District Tactical 1","Law Tac","Minnesota Department of Public Safety - State Patrol"
36570,8eda,"MSP 3100 ALL","D","Virginia "3100" District Tactical 3 - All Call","Law Tac","Minnesota Department of Public Safety - State Patrol"
36572,8edc,"DOT DLH 36572","D","DOT Duluth  36572","Public Works","Minnesota DOT District 1 NE - Duluth"
36574,8ede,"DOT D1 SHORE","D","DOT D1 Shore Sub (Grand Marias, Silver Bay, Two Harbors Truck Stations)","Public Works","Minnesota DOT District 1 NE - Duluth"
36576,8ee0,"DOT DLH  36576","D","DOT Duluth  36576","Public Works","Minnesota DOT District 1 NE - Duluth"
36582,8ee6,"DOT DLH  36582","D","DOT Duluth  36582","Public Works","Minnesota DOT District 1 NE - Duluth"
36584,8ee8,"DOT DLH TAC","D","DOT Duluth  TAC","Public Works","Minnesota DOT District 1 NE - Duluth"
36586,8eea,"DOT DLH  36586","D","DOT Duluth  36586","Public Works","Minnesota DOT District 1 NE - Duluth"
36588,8eec,"DOT DLH  36588","D","DOT Duluth  36588","Public Works","Minnesota DOT District 1 NE - Duluth"
36591,8eef,"NWS DULUTH","D","NWS Duluth","Emergency Ops","National Weather Service"
36594,8ef2,"MSP 2800 DSP","D","Brainerd "2800" Dispatch","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
36595,8ef3,"MSP 2800 RM","D","Brainerd "2800" Roaming","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
36596,8ef4,"MSP 2800 T 2","D","Brainerd "2800" TAC 2","Law Tac","Minnesota Department of Public Safety - State Patrol"
36597,8ef5,"MSP 2800 A I","D","Brainerd "2800" Accident Investigation","Law Tac","Minnesota Department of Public Safety - State Patrol"
36598,8ef6,"MSP 2800 T 1","D","Brainerd "2800" TAC 1","Law Tac","Minnesota Department of Public Safety - State Patrol"
36600,8ef8,"MSP 2800 ALL","D","Brainerd "2800" TAC 3 - All Call","Law Tac","Minnesota Department of Public Safety - State Patrol"
36610,8f02,"NE CALL","D","Northeast Call","Interop","Zone 5 Interoperability NE"
36612,8f04,"NE 2","D","NE-2","Interop","Zone 5 Interoperability NE"
36614,8f06,"NE 3","D","NE-3","Interop","Zone 5 Interoperability NE"
36616,8f08,"NE 4","D","NE-4","Interop","Zone 5 Interoperability NE"
36618,8f0a,"NE 5","D","NE-5","Interop","Zone 5 Interoperability NE"
36620,8f0c,"NE 6","D","NE-6","Interop","Zone 5 Interoperability NE"
36622,8f0e,"NE 7","D","NE-7","Interop","Zone 5 Interoperability NE"
36624,8f10,"NE 8","D","NE-8","Interop","Zone 5 Interoperability NE"
36626,8f12,"NE 9","D","NE-9","Interop","Zone 5 Interoperability NE"
36628,8f14,"NE 10","D","NE-10","Interop","Zone 5 Interoperability NE"
36630,8f16,"NE 11","D","NE-11","Interop","Zone 5 Interoperability NE"
36632,8f18,"NE 12","D","NE-12","Interop","Zone 5 Interoperability NE"
36634,8f1a,"DOC ML OP 1","D","Main Operations","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36636,8f1c,"DOC ML  OP 2","D","Local Maintenance","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36638,8f1e,"DOC ML OP 3","D","Operational Sec. Secure Det. Unit","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36640,8f20,"DOC ML OP 4","D","Operational Security Op1","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36642,8f22,"DOC ML OP 5","D","Operational Security Op2","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36644,8f24,"DOC ML OP 6","D","Operational Security SORT","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36646,8f26,"DOC ML OP 7","D","Alert Tone Out All Call","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36648,8f28,"DOC ML OP 8","D","Emergency Alert All Call","Corrections","Minnesota Department of Corrections - Moose Lake  Prison"
36650,8f2a,"DOC WR OP 1","D","Main Operations","Corrections","Minnesota Department of Corrections - Willow River Prison"
36652,8f2c,"DOC WR OP 2","D","Work Crews/Maintenance","Corrections","Minnesota Department of Corrections - Willow River Prison"
36654,8f2e,"DOC WR OP 3","D","Operational Security Op1","Corrections","Minnesota Department of Corrections - Willow River Prison"
36656,8f30,"DOC WR OP 4","D","Operational Security Op2","Corrections","Minnesota Department of Corrections - Willow River Prison"
36658,8f32,"DOC WR OP 5","D","Operational Security Op3","Corrections","Minnesota Department of Corrections - Willow River Prison"
36660,8f34,"DOC WR OP 6","D","Operational Security Tactical","Corrections","Minnesota Department of Corrections - Willow River Prison"
36662,8f36,"DOC WR OP 7","D","Alert Tone Out All Call","Corrections","Minnesota Department of Corrections - Willow River Prison"
36664,8f38,"DOC WR OP 8","D","Emergency Alert All Call","Corrections","Minnesota Department of Corrections - Willow River Prison"
36666,8f3a,"MCF Togo 1","D","MCF Togo Operations 1","Corrections","Minnesota Department of Corrections"
36668,8f3c,"MCF Togo 3","D","MCF Togo Ops 3","Corrections","Minnesota Department of Corrections"
36682,8f4a,"DHS MSOP ML1","D","Sex Offender Program Moose Lake 1","Corrections","Department of Human Services"
36684,8f4c,"DHS MSOP ML2","D","Sex Offender Program Moose Lake 2","Corrections","Department of Human Services"
36686,8f4e,"DHS MSOP ML3","D","Sex Offender Program Moose Lake 3","Corrections","Department of Human Services"
36688,8f50,"DHS MSOP ML4","D","Sex Offender Program Moose Lake 4","Corrections","Department of Human Services"
36690,8f52,"DHS MSOP ML5","D","Sex Offender Program Moose Lake 5","Corrections","Department of Human Services"
36692,8f54,"DHS MSOP ML6","D","Sex Offender Program Moose Lake 6","Corrections","Department of Human Services"
36694,8f56,"DHS MSOP ML7","D","Sex Offender Program Moose Lake 7","Corrections","Department of Human Services"
36696,8f58,"DHS MSOP ML8","D","Sex Offender Program Moose Lake 8","Corrections","Department of Human Services"
36703,8f5f,"Scenic SP","D","Scenic State Park, Bigfork","Public Works","Itasca County"
