Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
24890,613a,"EMH SC","D","St. Cloud Hospital	CentraCare Hospital - St. Cloud","Hospital","Central Minnesota EMS Hailing "
24898,6142,"ST HWY SOUTH","D","Stearns County Highway Dept - South District","Public Works","Stearns County"
24900,6144,"BN SO 1","D","Sheriff 1","Law Dispatch","Benton County"
24902,6146,"BN SO 2","D","Sheriff 2","Law Tac","Benton County"
24908,614c,"BN TAC 4","D","Benton Tac 4","Multi-Tac","Benton County"
24910,614e,"BN SO RES","D","Sheriff Reserves","Law Tac","Benton County"
24912,6150,"BN TAC 6","D","Benton Tac 6","Multi-Tac","Benton County"
24924,615c,"RICE POLICE","D","Rice Police Admin","Law Tac","Benton County"
24926,615e,"BN LAW","De","Law","Law Tac","Benton County"
24930,6162,"BN FOFD ADM","D","Foley FD Admin","Fire-Tac","Benton County"
24932,6164,"FOLEY","D","Foley","Multi-Tac","Benton County"
24938,616a,"RICE FIRE","D","Rice Fire Dept (1)","Fire-Tac","Benton County"
24940,616c,"RICE FD","D","Rice Fire Dept (2)","Fire-Tac","Benton County"
24946,6172,"BN FIRE","D","County Fire","Fire Dispatch","Benton County"
24948,6174,"BN ROAM","D","County Roam","Multi-Dispatch","Benton County"
24950,6176,"Foley DPW","D","Foley Dept of Public Works","Public Works","Benton County"
25011,61b3,"MI TRIBE LAW 2","D","Mille Lacs Tribal Law 2","Law Tac","Mille Lacs Band of Ojibwe"
25012,61b4,"MI TRIBE LAW ENC","DE","Mille Lacs Tribe Dispatch","Law Dispatch","Mille Lacs Band of Ojibwe"
25100,620c,"SH CW 2","D","Countywide 2","Interop","Sherburne County"
25104,6210,"SH COMMON2","D","Common 2","Multi-Talk","Sherburne County"
25106,6212,"SH BK PD C2C","D","Becker Police Car to Car","Law Talk","Sherburne County"
25108,6214,"SH BL FD TAC","D","Big Lake Fire Tactical","Fire-Tac","Sherburne County"
25110,6216,"BG LK PD C2C","D","Big Lake Police C2C","Law Talk","Sherburne County"
25112,6218,"SH COURT","D","County Court","Law Tac","Sherburne County"
25114,621a,"SH CL FD TAC","D","Clear Lake Fire Tactical","Fire-Tac","Sherburne County"
25116,621c,"SH ER FD TAC2","D","Elk River Fire Tactical 2","Fire-Tac","Sherburne County"
25118,621e,"SH ZM FD TAC","D","Zimmerman Fire Tactical","Fire-Tac","Sherburne County"
25120,6220,"SH BK FD TAC","D","Becker Fire Tactical","Fire-Tac","Sherburne County"
25124,6224,"SH ERPD C2C","D","Elk River Police Car to Car","Law Talk","Sherburne County"
25126,6226,"SH JAIL","D","Sheriff - Jail","Corrections","Sherburne County"
25128,6228,"ELK RVR FIRE","D","Elk River FD","Fire-Tac","Sherburne County"
25132,622c,"SH TAC3","DE","County Tac 3","Multi-Tac","Sherburne County"
25136,6230,"SH TAC1","D","County Tac 1","Multi-Tac","Sherburne County"
25138,6232,"SH TAC2","D","County Tac 2","Multi-Tac","Sherburne County"
25142,6236,"SH LE MAIN 1E","DE","Sherburne Law Main 1E","Law Dispatch","Sherburne County"
25144,6238,"SH LAW 2E","DE","Sherburne Law 2E","Law Dispatch","Sherburne County"
25146,623a,"SH LAW E","DE","Law","Law Tac","Sherburne County"
25148,623c,"SH COMMON 3","D","Sherburne Common 3","Multi-Talk","Sherburne County"
25150,623e,"SH PW","D","Public Works Main","Public Works","Sherburne County"
25152,6240,"SH FIRE","D","County Fire - Dispatch","Fire Dispatch","Sherburne County"
25154,6242,"SH JAIL BK","D","Jail Booking","Corrections","Sherburne County"
25160,6248,"BLWN FIRE","D","Baldwin Twp Fire","Fire-Tac","Sherburne County"
25162,624a,"SH COM CORR","D","Community Corrections & Probation","Corrections","Sherburne County"
25164,624c,"SH EOC","D","Sherburne Co EOC","Emergency Ops","Sherburne County"
25168,6250,"SH SCHOOL 2","D","Sherburne Schools 2","Schools","Sherburne County"
25174,6256,"ELK RVR UTIL","D","Elk River Municipal Utilities","Public Works","Sherburne County"
25178,625a,"SH ROAM","D","Sherburne Roaming","Multi-Dispatch","Sherburne County"
25182,625e,"SH ER EOC","D","Elk River EOC","Emergency Ops","Sherburne County"
25184,6260,"ELK RVR STRT","D","Elk River Public Works 3 Streets","Public Works","Sherburne County"
25186,6262,"ELK RVR PW 4","D","Elk River Public Works 4","Public Works","Sherburne County"
25188,6264,"SH ER COMMON","D","Elk River Common","Multi-Talk","Sherburne County"
25190,6266,"SH BK COMMON","D","Becker Common","Multi-Talk","Sherburne County"
25192,6268,"SH BL COMMON","D","Big Lake Common","Multi-Talk","Sherburne County"
25194,626a,"SH ZM COMMON","D","Zimmerman Common","Multi-Talk","Sherburne County"
25198,626e,"SH COMMON 1","D","SH-COMMON1","Multi-Talk","Sherburne County"
25202,6272,"SH HWY COM","D","Sherburne HWY Common","Public Works","Sherburne County"
25204,6274,"SH BD COMMON","D","Baldwin Common","Multi-Talk","Sherburne County"
25206,6276,"SH JAIL 2","D","Sheriff Jail 2","Corrections","Sherburne County"
25208,6278,"SH JAIL (4)","D","Jail (4)","Corrections","Sherburne County"
25300,62d4,"WR FIRE","D","County Fire","Fire Dispatch","Wright County"
25302,62d6,"WR FIRE TAC1","D","County Fire Tac 1","Fire-Tac","Wright County"
25303,62d7,"WR FIRE TAC2","D","County Fire Tac 2","Fire-Tac","Wright County"
25304,62d8,"WR FIRE TAC3","D","County Fire Tac 3","Fire-Tac","Wright County"
25305,62d9,"WR FIRE TAC4","D","County Fire Tac 4","Fire-Tac","Wright County"
25306,62da,"WR FIRE TAC5","D","County Fire Tac 5","Fire-Tac","Wright County"
25307,62db,"WR FIRE TAC6","D","County Fire Tac 6","Fire-Tac","Wright County"
25308,62dc,"WR FIRE TAC7","D","County Fire Tac 7","Fire-Tac","Wright County"
25309,62dd,"WR FIRE TAC8","D","County Fire Tac 8","Fire-Tac","Wright County"
25310,62de,"ALBRT FD 1","D","Albertville Fire 1","Fire-Tac","Wright County"
25311,62df,"ALBRT FD 2","D","Albertville Fire 2","Fire-Tac","Wright County"
25312,62e0,"ALBRT FD 3","D","Albertville Fire 3","Fire-Tac","Wright County"
25313,62e1,"ANNDL FD 1","D","Annandale Fire 1","Fire-Tac","Wright County"
